Prioridade,Status,name,name_PtBr,subname,subname_PtBr,ability,ability_PtBr,flavorText,flavorText_PtBr,initiative,initiative_PtBr
1,Ok,The Storm Tunnel,O Túnel da Tempestade,Ki'bro's Foothold,Ponto de apoio de Ki'bro,"All attacks also count as :water:Water attacks. 
Damage dealt by :air:Air attacks is reduced by 5.","Todos os ataques também contam como ataques de :water:Água.
O dano causado por ataques de :air:Ar é reduzido em 5.",Fighting the war on many fronts stretches even the M'arrillians to their limits.,Lutar a guerra em várias frentes leva até mesmo os M'arrillians ao limite.,Water,Água
1,Ok,The Storm Tunnel,O Túnel da Tempestade,Flooding,Inundação,"Engaged Creatures have "":water:Water 5.""
Creatures with :air:Air that became engaged this turn have an additional 10 Energy.","Criaturas Engajadas têm "":water:Água 5.""
Criaturas com :air:Ar que ficaram Engajadas neste turno têm 10 de Energia adicionais.","The air drowns, the sky cries, the winds cease, the hope dies.","O ar se afoga, o céu chora, os ventos cessam, a esperança morre.",Speed,Velocidade
1,Ok,The Storm Tunnel,O Túnel da Tempestade,Lingering Monsoon,Monção Persistente,The engaged Creature with the lowest :speed:Speed plays attacks at random.,A Criatura Engajada com a menor :speed:Velocidade realiza ataques aleatórios.,The scars of war remain long after the battle is over.,As cicatrizes da guerra permanecem muito tempo depois do fim da batalha.,Water,Água
1,Ok,The Storm Tunnel,O Túnel da Tempestade,,,":air:Air attacks deal an additional 5 damage.
Damage dealt by :water:Water attacks is reduced by 5.","Ataques de :air:Ar causam 5 de dano adicional.
O dano causado por ataques de :water:Água é reduzido em 5.",Even those who cannot fly do so here.,"Até mesmo aqueles que não podem voar, aqui o fazem.",Power,Poder
,Ok,The Storms,As tempestades,,,"At the beginning of combat, all Creatures gain :air:Air.","No início do combate, todas as Criaturas ganham :air:Ar.","""Someone must have carved these statues. So where are they?"" — Tiaane","""Alguém deve ter esculpido essas estátuas. Então, onde elas estão?"" — Tiaane",Wisdom,Sabedoria
,Ok,The Swartbron,A Primavera Negra,,,The engaged Creature with the lowest :courage:Courage fails all Checks on attacks it plays.,A Criatura Engajada com a menor :courage:Coragem falha em todos os testes de ataque que realizar.,Night flows like a river here.,A noite flui aqui como um rio.,Fire,Fogo
,Ok,The Training Grounds,O Campo de Treinamento,,,"At the beginning of combat, deal 5 damage to each engaged Creature for each Mugic counter on that Creature.
When a Creature wins combat, put Mugic counters on that Creature equal to its Mugic Ability.","No início do combate, cause 5 pontos de dano a cada Criatura Engajada para cada marcador de Mugic naquela Criatura.
Quando uma Criatura vence o combate, coloque marcadores de Mugic naquela Criatura igual à sua Habilidade de Mugic.",,,Mugic Ability,Habilidade Mugic
,Ok,Ulmar's Projection Cavern,Caverna de Projeção de Ulmar,,,"When this becomes the active Location, your opponent reveals a new active Location. 
Mirage: At the beginning of each player's turn, if this space is unoccupied, that player can relocate one of their Creatures to this space on the Battleboard.","Quando este Local se torna o Local ativo, seu oponente revela um novo Local ativo.
Miragem: No início do turno de cada jogador, se este espaço estiver desocupado, esse jogador pode realocar uma de suas Criaturas para este espaço no Tabuleiro de Batalha.",,,Water,Água
,Ok,UnderWorld City,Cidade do Submundo,During Van Bloot's Ascent,Durante a Ascensão de Van Bloot,"Creatures not named Lord Van Bloot have 10 less :courage:Courage.
Attack Cards played by Minion Creatures have ""Challenge :courage:Courage 15: Deal 5 damage.""","Criaturas que não se chamam Lorde Van Bloot têm 10 pontos a menos de :courage:Coragem.
Cartas de Ataque jogadas por Criaturas Minion têm ""Desafio :courage:Coragem 15: Cause 5 de dano.""",,,Courage,Coragem
,Ok,UnderWorld City,Cidade do Submundo,,,"Attacks played by UnderWorld Creatures have ""Challenge :power:Power 15: Deal 5 damage.""","Os ataques realizados pelas Criaturas do Submundo têm ""Desafio :power:Poder 15: Causa 5 de dano.""","Not known for his creativity, Chaor nevertheless won the capital-naming contest for which he was also the judge.","Apesar de não ser conhecido por sua criatividade, Chaor venceu o concurso para nomear a capital, do qual também foi jurado.",Speed,Velocidade
,Ok,UnderWorld Colosseum,Coliseu do SubMundo,,,Creatures with :fire:Fire deal an additional 10 damage on their first attack each combat.,Criaturas com :fire:Fogo causam 10 pontos de dano adicionais em seu primeiro ataque em cada combate.,UnderWorlders have a simple way of settling arguments here: the one left standing is always right.,Os habitantes do submundo têm uma maneira simples de resolver discussões aqui: quem ficar de pé está sempre certo.,Speed,Velocidade
,Ok,Van Bloot's Banquet,Banquete de Van Bloot,,,"Creatures that are a M'arrillian or a Minion have an additional 5 Energy. 
When your engaged Creature loses Initiative, it gains 20 to all Disciplines.","Criaturas que são M'arrillian ou Lacaios têm 5 de Energia adicionais.
Quando sua Criatura Engajada perde a Iniciativa, ela ganha 20 em todas as Disciplinas.","A toast to my new friends! Together, we'll overthrow Chaor!","Um brinde aos meus novos amigos! Juntos, derrubaremos Chaor!",UnderWorld,Submundo
2,Ok,Vidav's Refectorium,Refeitório de Vidav,,,"When this becomes the active Location, each player draws two Attack Cards, then discards two Attack Cards.","Quando este Local se torna o Local ativo, cada jogador compra duas Cartas de Ataque e, em seguida, descarta duas Cartas de Ataque.","Though Vidav wants peace, his battle tactics are undeniably the best.","Embora Vidav deseje a paz, suas táticas de batalha são inegavelmente as melhores.",Wisdom,Sabedoria
,Ok,Wooden Pillar,Pilar de Madeira,,,Creatures must pay an additional :overworldmugic: to play OverWorld Mugic Cards.,As Criaturas devem pagar um valor adicional de :overworldmugic: para jogar as Cartas Mugic do Outro Mundo.,"The Runic Grove takes root here, and UnderWorlders believe it grows even further down than up.","O Bosque Rúnico cria raízes aqui, e os habitantes do Submundo acreditam que ele cresce ainda mais para baixo do que para cima.",Wisdom,Sabedoria
